facility_id,evuc_identifier,specialization_id,specialization_slug,specialization_name,is_primary
40939a3e-5dbf-538c-b80c-fd403f14c5e7,66-31908799-A0001,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
40939a3e-5dbf-538c-b80c-fd403f14c5e7,66-31908799-A0001,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
40939a3e-5dbf-538c-b80c-fd403f14c5e7,66-31908799-A0001,cb9652cb-ed0c-5fbb-a9ee-f514127a8526,lubica-lakotova-sestra,Ľubica Lakotová (sestra),false
71081212-f610-5a3c-94dc-f8945b14018c,66-47347015-A0001,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
71081212-f610-5a3c-94dc-f8945b14018c,66-47347015-A0001,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
71081212-f610-5a3c-94dc-f8945b14018c,66-47347015-A0001,c2b98a57-80c4-51af-bd6b-b56c7696f3e0,mgr-beata-sihelska-mph-sestra,"Mgr. Beáta Sihelská, MPH. (sestra)",false
6ecf63e8-460f-5ac3-9d6b-933fef12eb11,66-36621242-A0003,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
6ecf63e8-460f-5ac3-9d6b-933fef12eb11,66-36621242-A0003,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
6ecf63e8-460f-5ac3-9d6b-933fef12eb11,66-36621242-A0003,1d579f19-dfb8-5053-be8e-004687f43846,anna-hulinova-sestra,Anna Hulínová (sestra),false
783ac2af-238f-56b9-924e-54dda7284e0a,66-36620505-A0002,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
783ac2af-238f-56b9-924e-54dda7284e0a,66-36620505-A0002,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
783ac2af-238f-56b9-924e-54dda7284e0a,66-36620505-A0002,04ed96f4-70ff-5b28-9a85-6eeeafc7901e,mgr-jaroslav-straka-sestra,Mgr. Jaroslav Straka (sestra),false
783ac2af-238f-56b9-924e-54dda7284e0a,66-36620505-A0002,7cf1f574-7a32-5453-a715-1b34786adf2b,bc-filip-cerovsky-sestra,Bc.Filip Cerovský (sestra),false
783ac2af-238f-56b9-924e-54dda7284e0a,66-36620505-A0002,cbb7deef-2101-5d28-8fca-c472f8e64115,mgr-katarina-pivkova-sestra,Mgr.Katarína Pivková (sestra),false
783ac2af-238f-56b9-924e-54dda7284e0a,66-36620505-A0002,65c970e6-af00-57cd-9437-a7bec79f7390,mgr-adriana-filcikova-sestra,Mgr.Adriána Filčíková (sestra),false
c5436848-8d19-51ad-9550-cb508b6ead20,53-31642314-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
17aff8e3-eed9-56e7-9a12-f6726f1bdf70,53-52883281-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
6ef49226-c230-5085-bd3e-893c4ac30a7e,53-31642438-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
0063e257-d675-5b36-9230-27c4facc9d2d,53-36059706-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
2e452872-e0b2-5a95-aec6-d006c5ef0c7e,53-00165476-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
42f0e944-633e-54cc-b922-dff9a044480f,53-31642713-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
e0905c36-b65d-54df-a503-40e8792af067,53-00165506-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
dc6f08fb-cfea-57b1-85a0-cb43a6b8ca47,53-31642331-A0001,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
ceca553a-8939-5058-a563-56ad4260353f,66-46991492-A0004,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
ceca553a-8939-5058-a563-56ad4260353f,66-46991492-A0004,d5ab7a9d-611d-51bd-ad68-2a4eb1690fdf,dentoalveolarna-chirurgia,dentoalveolárna chirurgia,false
6fb734a4-9bab-5fed-85c2-68459b046930,66-56290063-A0002,f6243765-dbb3-5fc8-be9d-64469c2dda6a,fyziatria-balneologia-a-liecebna-rehabilitacia,"fyziatria, balneológia a liečebná rehabilitácia",true
b515deb0-8204-5ffb-a094-9c0f5b6bc108,66-56290063-A0001,092a94a2-2374-58c5-b311-589372e1a584,ortopedia,ortopédia,true
e16688f6-91d5-5c34-b1ed-9b47f043f093,66-57517771-A0001,86a7ca65-5090-5207-8f3e-5903710ed8f5,fyzioterapia,fyzioterapia,true
9e8e60c1-0770-5e54-bf2b-82a06d25c2c4,66-57499471-A0001,53308120-a9b8-57ff-91f7-c6fae1c467d7,plasticka-chirurgia,plastická chirurgia,true
72244b88-ea7b-5177-b290-604970922dce,66-57499471-A0002,53308120-a9b8-57ff-91f7-c6fae1c467d7,plasticka-chirurgia,plastická chirurgia,true
1a65b2c5-8e1c-58e5-bf47-fde0f8f6fc6f,51-17336210-A0071,3bff53a8-20ae-5489-bea5-01e8ddcccabd,rychla-lekarska-pomoc-v-stretavacom-rezime-rv,rýchla lekárska pomoc v stretávacom režime „RV“,true
954e6281-342f-53d1-81c5-2787346ef72e,66-31623832-A0048,092a94a2-2374-58c5-b311-589372e1a584,ortopedia,ortopédia,true
883d1cbf-283a-597b-b865-5974a6107e33,51-17336210-A0073,cd64d959-e709-594e-a252-892ba682f79b,rychla-zdravotna-pomoc,rýchla zdravotná pomoc,true
d4189d05-2a83-5943-8483-c30883b8559b,66-57213089-A0001,c6521d61-dc2e-5bd8-95ad-29132d0fe348,klinicka-psychologia,klinická psychológia,true
d4189d05-2a83-5943-8483-c30883b8559b,66-57213089-A0001,6bdc8a9a-a6cd-5976-ae67-e003f089e8fa,psychoterapia,psychoterapia,false
89b42e3a-78b8-5e0f-b871-7f4c06cca45f,66-55563333-A0011,be2856c4-9f82-5edf-9e9e-c551fdaf4435,urazova-chirurgia,úrazová chirurgia,true
6f7e73bb-f4b7-5a9c-9d74-00a2291e8cd1,66-55563333-A0012,be2856c4-9f82-5edf-9e9e-c551fdaf4435,urazova-chirurgia,úrazová chirurgia,true
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,17932682-ec13-5f2f-bfc4-54d478fe5ba0,radiologia,rádiológia,true
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,0e3087c3-5fda-584c-bdc4-87e3da871453,magneticka-rezonancia,magnetická rezonancia,false
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,756be195-ffe9-5524-b014-8863e4ba4a23,mudr-maros-daxner-lekar,MUDr. Maroš Daxner (lekár),false
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,7234267f-d1ab-5e27-93cd-e224e3cfe468,mudr-barbora-suchacova-lekar,MUDr. Barbora Sucháčová (lekár),false
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,9ebd2917-4a2f-55a7-845b-cbbea5e3f86b,mudr-radoslav-bielik-lekar,MUDr. Radoslav Bielik (lekár),false
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,1b257415-256a-5c6f-864a-625e7761411c,mudr-daniela-chovancova-lekar,MUDr. Daniela Chovancová (lekár),false
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,33a0b30b-4526-5456-a8f3-20a5fec5b1f4,mudr-lukas-sojak-lekar,MUDr. Lukáš Soják (lekár),false
31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,55b5580b-43c0-5775-afb0-623bc06c7b82,mgr-natalia-trnkova-holekova-sestra,Mgr. Natália Trnková Holeková (sestra),false
15a77d98-3eb5-5d06-a2c6-43cf3590c0f9,51-42255015-A0005,c6521d61-dc2e-5bd8-95ad-29132d0fe348,klinicka-psychologia,klinická psychológia,true
15a77d98-3eb5-5d06-a2c6-43cf3590c0f9,51-42255015-A0005,6bdc8a9a-a6cd-5976-ae67-e003f089e8fa,psychoterapia,psychoterapia,false
15a77d98-3eb5-5d06-a2c6-43cf3590c0f9,51-42255015-A0005,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
15a77d98-3eb5-5d06-a2c6-43cf3590c0f9,51-42255015-A0005,0561ac71-0628-57a6-b350-7f4859c64386,phdr-anna-surovcova-csc-psycholog,"PhDr. Anna Surovcová, CSc. (psychológ)",false
15a77d98-3eb5-5d06-a2c6-43cf3590c0f9,51-42255015-A0005,ece3b36c-b60e-558d-84be-74251435f316,phdr-jana-galatova-psycholog,PhDr. Jana Galátová (psychológ),false
3f04f9be-a89c-5f74-b932-137a261648c5,51-42255015-A0007,3c786fc3-04b5-50ac-852f-d11859222c5c,psychiatria,psychiatria,true
3f04f9be-a89c-5f74-b932-137a261648c5,51-42255015-A0007,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
3f04f9be-a89c-5f74-b932-137a261648c5,51-42255015-A0007,db7bddd8-d754-569d-9259-6efe3ab9c3f2,mudr-jana-budinska-velicova-lekar,MUDr. Jana Budinská Veličová (lekár),false
3f04f9be-a89c-5f74-b932-137a261648c5,51-42255015-A0007,8c0059d7-78c0-5e2a-b144-2ce0135799ca,mudr-lenka-obsitnikova-lekar,MUDr. Lenka Obšitníková (lekár),false
3f04f9be-a89c-5f74-b932-137a261648c5,51-42255015-A0007,31b12e95-ba3c-5e76-b617-246b2ac18a8f,maria-magalova-sestra,Mária Magálová (sestra),false
552049b2-7f2d-58e3-8929-6b2fc47945e9,51-42255015-A0009,3c786fc3-04b5-50ac-852f-d11859222c5c,psychiatria,psychiatria,true
552049b2-7f2d-58e3-8929-6b2fc47945e9,51-42255015-A0009,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
552049b2-7f2d-58e3-8929-6b2fc47945e9,51-42255015-A0009,8c0059d7-78c0-5e2a-b144-2ce0135799ca,mudr-lenka-obsitnikova-lekar,MUDr. Lenka Obšitníková (lekár),false
552049b2-7f2d-58e3-8929-6b2fc47945e9,51-42255015-A0009,db7bddd8-d754-569d-9259-6efe3ab9c3f2,mudr-jana-budinska-velicova-lekar,MUDr. Jana Budinská Veličová (lekár),false
552049b2-7f2d-58e3-8929-6b2fc47945e9,51-42255015-A0009,31b12e95-ba3c-5e76-b617-246b2ac18a8f,maria-magalova-sestra,Mária Magálová (sestra),false
b3332ca0-a7df-5648-bf15-0ba6ab29a606,66-52919706-A0001,79cfb43a-7424-56d3-8486-84fea70e1000,dermatovenerologia,dermatovenerológia,true
0aac2815-8233-5164-8977-a93eefdeb015,51-17336210-A0069,aab53ac7-02eb-50b5-b363-8714e43e3025,specializovana-preprava-pocas-kalendarnych-dni,špecializovaná preprava počas kalendárnych dní,true
1ced25a5-97ab-531b-8305-5cf44be99c12,51-17336210-A0072,cd64d959-e709-594e-a252-892ba682f79b,rychla-zdravotna-pomoc,rýchla zdravotná pomoc,true
82e6f0a7-3711-5fcd-8619-aba6628ef709,51-17336210-A0074,cd64d959-e709-594e-a252-892ba682f79b,rychla-zdravotna-pomoc,rýchla zdravotná pomoc,true
ec7aaf1c-720a-5410-9fe4-3ffedb7ec618,51-17336210-A0076,ea06f5ee-58ae-57e5-b4a1-39a656dbde8f,rychla-zdravotna-pomoc-s,rýchla zdravotná pomoc „S“,true
9e77fce3-5dd6-58cf-9ad4-e885f2db119c,66-57161348-A0001,18399a21-359c-51f7-b91b-3e4b89109c37,vseobecne-lekarstvo,všeobecné lekárstvo,true
f42f280a-c1cd-53d6-80ec-7dc601b484f5,51-31908969-A0018,cd64d959-e709-594e-a252-892ba682f79b,rychla-zdravotna-pomoc,rýchla zdravotná pomoc,true
ca5393f9-24e9-5c0e-85b3-c3cff21d64a0,66-45452245-A0002,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
d6cc0df9-1511-5771-8d24-b927de8ac931,66-36618799-A0006,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
d6cc0df9-1511-5771-8d24-b927de8ac931,66-36618799-A0006,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
d6cc0df9-1511-5771-8d24-b927de8ac931,66-36618799-A0006,3fc94328-4cef-58ab-b7d5-2a65839f5bf0,mddr-ivana-pollakova-zubny-lekar,MDDr. Ivana Pollaková (zubný lekár),false
d6cc0df9-1511-5771-8d24-b927de8ac931,66-36618799-A0006,11de72e2-1fbc-52e7-a8a0-501e6c789342,janka-lachka-sestra,Janka Ľachka (sestra),false
07c34047-3aa5-55ff-a9fa-8cd06b9ecee7,66-57112924-A0001,86a7ca65-5090-5207-8f3e-5903710ed8f5,fyzioterapia,fyzioterapia,true
07c34047-3aa5-55ff-a9fa-8cd06b9ecee7,66-57112924-A0001,1aa059a8-5bc8-56b7-a8d1-4f7f29b236f0,fyzioterapia-poruch-centralneho-nervoveho-systemu,fyzioterapia porúch centrálneho nervového systému,false
4f0b6a83-d79e-5d8f-b996-2610a8612e9a,66-57201536-A0001,86a7ca65-5090-5207-8f3e-5903710ed8f5,fyzioterapia,fyzioterapia,true
80d9679c-b535-5069-8641-c0e751087ed9,66-57106983-A0001,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
