id,name,id_facility_type,description,website_url,deleted_at
c7c9c3a3-cb1e-5bd1-b589-e0ae92d7dab8,"Ambulancia klinickej psychológie, Banská Bystrica, (PhDr. Martina Bečková)",8257b8bd-f37e-5ee4-a3c5-6d86537eac9e,Import e-VÚC | Identifikátor: 66-50557262-A0001 | Poskytovateľ: PhDr. Martina Bečková | IČO: 50557262 | Odbornosť: klinická psychológia,,
e3a7185b-aaca-58a5-929c-10870509a39b,"Ambulancia BB, Algeziologická ambulancia - Ambulancia bolesti, Banská Bystrica, (Euromediconsult s.r.o.)",ae705f8b-37c8-5a0a-80cb-4e4170d05db0,Import e-VÚC | Identifikátor: 66-50770420-A0002 | Poskytovateľ: Euromediconsult s.r.o. | IČO: 50770420 | Odbornosť: algeziológia,,
067fcf11-81fd-5b0a-9a88-f26d52c84592,"Ambulancia BB, Všeobecná ambulancia pre dospelých, Banská Bystrica, (Euromediconsult s.r.o.)",9595ec5e-5edf-59f4-af99-2d895c76145f,Import e-VÚC | Identifikátor: 66-50770420-A0001 | Poskytovateľ: Euromediconsult s.r.o. | IČO: 50770420 | Odbornosť: všeobecné lekárstvo,,
6ef36604-b9f0-5987-8f51-8de61b539d7c,"Ambulancia zubného lekárstva, Banská Bystrica, (DUODENT Banská Bystrica, spol. s r. o.)",bd60949d-dfc4-516d-91db-bae6ef4e5a49,"Import e-VÚC | Identifikátor: 66-36733768-A0004 | Poskytovateľ: DUODENT Banská Bystrica, spol. s r. o. | IČO: 36733768 | Odbornosť: zubné lekárstvo",,
e5727f7f-4973-5b61-b1ae-2431adaa188b,"Ambulancia zubného lekárstva, Banská Bystrica, (DUODENT Banská Bystrica, spol. s r. o.)",bd60949d-dfc4-516d-91db-bae6ef4e5a49,"Import e-VÚC | Identifikátor: 66-36733768-A0005 | Poskytovateľ: DUODENT Banská Bystrica, spol. s r. o. | IČO: 36733768 | Odbornosť: zubné lekárstvo",,
bf99493e-740c-5a44-9b05-837d9a8c7a77,"Oftalmologická ambulancia, Banská Bystrica, (InnoMedix s. r. o.)",66be0aa3-4451-5e90-95af-807dfaf583f7,Import e-VÚC | Identifikátor: 66-56264887-A0001 | Poskytovateľ: InnoMedix s. r. o. | IČO: 56264887 | Odbornosť: oftalmológia,,
3c372c8d-15b5-5f8c-a29b-6fabb54c59a4,"Ambulancia čeľustnej ortopédie, MDDr. Adam Michelčík, Banská Bystrica, (VLDAM s.r.o.)",d1eb287c-f85c-5489-8183-70e1ab3066f2,Import e-VÚC | Identifikátor: 66-44407033-A0002 | Poskytovateľ: VLDAM s.r.o. | IČO: 44407033 | Odbornosť: čeľustná ortopédia,,
7d5fd530-947c-5f39-92f6-29940d07d19b,"Ambulancia poradenskej psychológie, Banská Bystrica, (Mgr. Kristína Resslová)",f66fcc2f-e6b2-53e9-9f4d-c4a695a612f1,Import e-VÚC | Identifikátor: 66-56652062-A0002 | Poskytovateľ: Mgr. Kristína Resslová | IČO: 56652062 | Odbornosť: poradenská psychológia,,
e13a49ad-3c2c-5fc4-af85-85114df69848,"Ambulancia pracovnej a organizačnej psychológie, Banská Bystrica, (Mgr. Kristína Resslová)",c05423d2-a125-5c68-b4fa-44c711e6d41b,Import e-VÚC | Identifikátor: 66-56652062-A0001 | Poskytovateľ: Mgr. Kristína Resslová | IČO: 56652062 | Odbornosť: pracovná a organizačná psychológia,,
18acebd1-961f-599e-b294-54a8f30237aa,"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Martina Vagáňová, Banská Bystrica, (ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.)",6de18f56-30ce-572c-b53e-961d842b0597,"Import e-VÚC | Identifikátor: 66-51744422-A0011 | Poskytovateľ: ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o. | IČO: 51744422 | Odbornosť: diabetológia, poruchy látkovej premeny a výživy",,
f9aafde6-f1eb-5e40-9f9d-b0246f494faf,"Endokrinologická ambulancia, Banská Bystrica, (ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.)",6f558a0c-c653-58bc-8b95-edf0a415c384,"Import e-VÚC | Identifikátor: 66-51744422-A0012 | Poskytovateľ: ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o. | IČO: 51744422 | Odbornosť: endokrinológia",,
b8b6b262-2c21-5d7f-9395-0b65b3fbc4f0,"Všeobecná ambulancia pre dospelých, Brusno, (VLD BRUSNO s.r.o.)",9595ec5e-5edf-59f4-af99-2d895c76145f,Import e-VÚC | Identifikátor: 66-56514328-A0001 | Poskytovateľ: VLD BRUSNO s.r.o. | IČO: 56514328 | Odbornosť: všeobecné lekárstvo,,
5134f057-adc9-5c2d-a7dd-c529b350ac69,"Ambulancia pracovnej a organizačnej psychológie, Banská Bystrica, (PhDr. Janka Raučinová)",c05423d2-a125-5c68-b4fa-44c711e6d41b,Import e-VÚC | Identifikátor: 66-32027222-A0002 | Poskytovateľ: PhDr. Janka Raučinová | IČO: 32027222 | Odbornosť: pracovná a organizačná psychológia,,
