doctor_candidate_id,facility_id,evuc_identifier,source_url,doctor_full_name,doctor_title,doctor_first_name,doctor_last_name,doctor_suffix,primary_specialization,facility_name,provider_name,provider_ico,parse_status,candidate_confidence,import_recommendation,note
7facc146-1b75-5b2a-aaf7-53242f293f26,e77bc120-2d2f-58cf-9d0e-b9dd6b5de213,66-42317614-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/phdr.-eva-malikova-horna-banska-bystrica-phdr.-eva-malikova.html?page_id=96007,PhDr. Eva Malíková,PhDr.,Eva,Malíková,,domáca ošetrovateľská starostlivosť,"PhDr. Eva Malíková, Horná, Banská Bystrica, (PhDr. Eva Malíková)",PhDr. Eva Malíková,42317614,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
cce5b27a-2adf-5e13-95eb-b9dde57554a2,ab40fe86-8031-5cbc-a9e3-8461326c1fea,66-54109868-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/brezno/ados-hlavna-pohronska-polhora-mgr.-janka-tyciakova.html?page_id=141539,Mgr. Janka Tyčiaková,Mgr.,Janka,Tyčiaková,,domáca ošetrovateľská starostlivosť,"ADOS, Hlavná, Pohronská Polhora, (Mgr. Janka Tyčiaková)",Mgr. Janka Tyčiaková,54109868,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
eea865fe-ac05-50cd-9762-8b9efefbf130,1e81bd5a-ce25-507b-b034-7ae6fd8a2827,66-33254346-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ados-salubrita-nemocnicna-velky-krtis-phdr.-maria-backova.html?page_id=96024,PhDr. Mária Backová,PhDr.,Mária,Backová,,domáca ošetrovateľská starostlivosť,"ADOS SALUBRITA, Nemocničná, Veľký Krtíš, (PhDr. Mária Backová)",PhDr. Mária Backová,33254346,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
05409d0e-0832-52c0-bb48-3b59952298be,7ec4a213-e897-5dfe-95b2-242c0ce1d908,66-37818911-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/velky-krtis/ados-nemocnicna-velky-krtis-mgr.-katarina-lukacova.html?page_id=94437,Mgr. Katarína Lukáčová,Mgr.,Katarína,Lukáčová,,domáca ošetrovateľská starostlivosť,"ADOS, Nemocničná, Veľký Krtíš, (Mgr. Katarína Lukáčová)",Mgr. Katarína Lukáčová,37818911,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
37cccee7-44cb-5d95-9efc-d8751f948640,31406a82-8956-5caf-8d96-d23b2b03004c,51-36644331-A0025,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/svalz-radiologia-mudr.-maros-daxner-banska-bystrica-stredoslovensky-ustav-srdcovych-a-cievnych-chorob-a.s..html?page_id=154217,MUDr. Maroš Daxner,MUDr.,Maroš,Daxner,,rádiológia,"SVaLZ, rádiológia, MUDr. Maroš Daxner, Banská Bystrica, (Stredoslovenský ústav srdcových a cievnych chorôb, a.s.)","Stredoslovenský ústav srdcových a cievnych chorôb, a.s.",36644331,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
e93d12b7-e360-51c2-a5ff-2df227f8fd8c,15a77d98-3eb5-5d06-a2c6-43cf3590c0f9,51-42255015-A0005,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-klinickej-psychologie-phdr.-anna-surovcova-csc.-banska-bystrica-tenenet-o.z..html?page_id=154121,PhDr. Anna Surovcová,PhDr.,Anna,Surovcová,,klinická psychológia,"Ambulancia klinickej psychológie, PhDr. Anna Surovcová, CSc., Banská Bystrica, (TENENET o.z.)",TENENET o.z.,42255015,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
d496165d-e86e-5e70-9278-21ab52c439a8,3f04f9be-a89c-5f74-b932-137a261648c5,51-42255015-A0007,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/psychiatricka-ambulancia-mudr.-jana-budinska-velicova-banska-bystrica-tenenet-o.z..html?page_id=154122,MUDr. Jana Budinská Veličová,MUDr.,Jana,Budinská Veličová,,psychiatria,"Psychiatrická ambulancia, MUDr. Jana Budinská Veličová, Banská Bystrica, (TENENET o.z.)",TENENET o.z.,42255015,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
bcf9d47d-f29e-5f9e-a44c-f92577b8ecdf,552049b2-7f2d-58e3-8929-6b2fc47945e9,51-42255015-A0009,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/stacionar-psychiatria-mudr.-lenka-obsitnikova-banska-bystrica-tenenet-o.z..html?page_id=154123,MUDr. Lenka Obšitníková,MUDr.,Lenka,Obšitníková,,psychiatria,"Stacionár, psychiatria, MUDr. Lenka Obšitníková, Banská Bystrica, (TENENET o.z.)",TENENET o.z.,42255015,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
3171bc7a-7e71-5022-8ed8-98df4d9a50f3,d6cc0df9-1511-5771-8d24-b927de8ac931,66-36618799-A0006,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-zubneho-lekarstva-mddr.-ivana-pollakova-banska-bystrica-kohajda-1.html?page_id=153521,MDDr. Ivana Pollaková,MDDr.,Ivana,Pollaková,,zubné lekárstvo,"Ambulancia zubného lekárstva, MDDr. Ivana Pollaková, Banská Bystrica, (KOHAJDA, s.r.o.)","KOHAJDA, s.r.o.",36618799,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
8f208a92-6ad9-501e-b85e-8a7eb4fc0b1b,4f0b6a83-d79e-5d8f-b996-2610a8612e9a,66-57201536-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/svalz-fyzioterapia-banska-bystrica-mgr.-martina-mazuchova.html?page_id=153366,Mgr. Martina Mazúchová,Mgr.,Martina,Mazúchová,,fyzioterapia,"SVaLZ, fyzioterapia, Banská Bystrica, (Mgr. Martina Mazúchová)",Mgr. Martina Mazúchová,57201536,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
