id,slug,name,info
f43e8458-6fe4-5172-98ca-3f67ce6c73d7,kardiologicka-ambulancia,kardiologická ambulancia,Importované z e-VÚC
673fc3ae-95a5-5d8e-a4b1-6f0bb13bc059,kupelna-liecebna,kúpeľná liečebňa,Importované z e-VÚC
9128b7ce-eba8-50fa-a3ec-6d0a41242b83,mobilny-hospic,mobilný hospic,Importované z e-VÚC
47246ac9-a660-522a-9a67-f303bb5ab85c,nefrologicka-ambulancia,nefrologická ambulancia,Importované z e-VÚC
02b84cc6-0776-505a-9516-258c7b47fc25,neurologicka-ambulancia,neurologická ambulancia,Importované z e-VÚC
66be0aa3-4451-5e90-95af-807dfaf583f7,oftalmologicka-ambulancia,oftalmologická ambulancia,Importované z e-VÚC
41fbebd7-5910-503d-a816-bd197ff61473,ortopedicka-ambulancia,ortopedická ambulancia,Importované z e-VÚC
ba45dfd6-4f9a-5758-9cf2-c7a67d59757c,otorinolaryngologicka-ambulancia,otorinolaryngologická ambulancia,Importované z e-VÚC
4b31c4ad-0209-5727-8e08-16bde69bfa8a,pediatricka-ambulancia,pediatrická ambulancia,Importované z e-VÚC
fb10181e-181c-53fc-9c49-4f5574baab2a,pneumologicko-ftizeologicka-ambulancia,pneumologicko-ftizeologická ambulancia,Importované z e-VÚC
df6ed00b-b27b-54c7-80b2-6424c13433c5,poliklinika,poliklinika,Importované z e-VÚC
48eb5fd2-2987-5ad6-9237-7e942fe9b994,primarna-gynekologicko-porodnicka-ambulancia,primárna gynekologicko-pôrodnícka ambulancia,Importované z e-VÚC
8777f028-b997-5d4c-81ec-47b49382a9a5,prirodne-liecebne-kupele,prírodné liečebné kúpele,Importované z e-VÚC
789d9980-65d3-5652-abb0-a0eb237added,psychiatricka-ambulancia,psychiatrická ambulancia,Importované z e-VÚC
fd93d484-606c-5fa8-b576-a6183074ee2a,reumatologicka-ambulancia,reumatologická ambulancia,Importované z e-VÚC
41c5bf1a-68a3-525a-aedf-f09bdeaf94f0,stacionar,stacionár,Importované z e-VÚC
4cdaeadb-1980-5810-be13-0a1f6588dbac,urologicka-ambulancia,urologická ambulancia,Importované z e-VÚC
488b9d67-2956-5de5-a17c-f3fc3cf32326,vseobecna-ambulancia-pre-deti-a-dorast,všeobecná ambulancia pre deti a dorast,Importované z e-VÚC
9595ec5e-5edf-59f4-af99-2d895c76145f,vseobecna-ambulancia-pre-dospelych,všeobecná ambulancia pre dospelých,Importované z e-VÚC
59ecdc54-fe75-52af-8703-3ee09a448675,zariadenie-na-poskytovanie-jednodnovej-zdravotnej-starostlivosti,zariadenie na poskytovanie jednodňovej zdravotnej starostlivosti,Importované z e-VÚC
833c026a-8cd4-523e-8c59-e112837fa142,zariadenie-spolocnych-vysetrovacich-a-liecebnych-zloziek,zariadenie spoločných vyšetrovacích a liečebných zložiek,Importované z e-VÚC
