facility_id,evuc_identifier,street,street_number,city,region,zip_code,full_address,is_primary
80d9679c-b535-5069-8641-c0e751087ed9,66-57106983-A0001,Na Zábave,3826/13,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Na Zábave, 3826/13, 97411, Banská Bystrica",true
ccadc560-fab0-5508-a0cb-ab1dc093de7d,66-57188378-A0001,Sládkovičova,14200/7A,Banská Bystrica,Banskobystrický samosprávny kraj,97405,"Sládkovičova, 14200/7A, 97405, Banská Bystrica",true
10595f3c-e673-55c6-9e13-12fb8dacf2c9,66-55168850-A0001,Partizánska cesta,6626/3,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Partizánska cesta, 6626/3, 97401, Banská Bystrica",true
4ac57932-e5bd-5163-8244-7024c3237d24,66-50727184-A0007,Starohorská,6880/72,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Starohorská, 6880/72, 97411, Banská Bystrica",true
76557bbe-3dd9-51a6-8db8-bb12490ea89b,66-50727184-A0003,Starohorská,6880/72,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Starohorská, 6880/72, 97411, Banská Bystrica",true
ae691587-361d-5c9c-acd4-680291328145,66-50727184-A0004,Partizánska ulica,159/38,Selce,Banskobystrický samosprávny kraj,97611,"Partizánska ulica, 159/38, 97611, Selce",true
13a18e28-17fb-5178-9ce5-f44e89fd2ec5,66-50727184-A0005,Starohorská,6880/72,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Starohorská, 6880/72, 97411, Banská Bystrica",true
9a950271-4dd6-5ea9-b189-6a10b14083fe,66-50727184-A0006,Starohorská,6880/72,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Starohorská, 6880/72, 97411, Banská Bystrica",true
362fb461-1bcc-5535-b424-32fb6ab46147,66-56659776-A0001,Nám. slobody,14510/9,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Nám. slobody, 14510/9, 97401, Banská Bystrica",true
1a630b15-c027-58ff-9a93-5369f5e0a291,51-00697516-A0008,Banská Bystrica,,,Banskobystrický samosprávny kraj,,"0, Banská Bystrica",true
56094724-5d3a-5e42-a492-0fb3eb3d49a7,66-35910682-A0001,Bernolákova,6756/2,Banská Bystrica,Banskobystrický samosprávny kraj,97405,"Bernolákova, 6756/2, 97405, Banská Bystrica",true
7187ba35-e8e5-5116-9df2-dba9ce84cc02,66-55479251-A0001,Nám. Ľ. Štúra,5949/7,Banská Bystrica,Banskobystrický samosprávny kraj,97405,"Nám. Ľ. Štúra, 5949/7, 97405, Banská Bystrica",true
d6cda10c-6040-5c94-9736-f923a546891e,66-56765631-A0003,Trieda SNP,3502/75,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Trieda SNP, 3502/75, 97401, Banská Bystrica",true
c4aa5e87-2677-51da-8fb3-2aa4c98777ae,66-56765631-A0001,Trieda SNP,3502/75,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Trieda SNP, 3502/75, 97401, Banská Bystrica",true
0703d0a7-49c5-55cc-b2de-79c919f37a4b,66-56765631-A0002,Trieda SNP,3502/75,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Trieda SNP, 3502/75, 97401, Banská Bystrica",true
27e34592-ee80-58f9-b1c3-81625f1c04c9,66-56642709-A0002,Partizánska cesta,6626/3,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Partizánska cesta, 6626/3, 97401, Banská Bystrica",true
6f4f9b16-d26a-5d9c-848f-47dcbf47443f,66-56547633-A0001,Nad plážou,14458/9B,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Nad plážou, 14458/9B, 97401, Banská Bystrica",true
fd433a88-601f-5884-9215-11118a6363b9,66-56642709-A0001,Partizánska cesta,6626/3,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Partizánska cesta, 6626/3, 97401, Banská Bystrica",true
c7c9c3a3-cb1e-5bd1-b589-e0ae92d7dab8,66-50557262-A0001,Skuteckého,133/30,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Skuteckého, 133/30, 97401, Banská Bystrica",true
e3a7185b-aaca-58a5-929c-10870509a39b,66-50770420-A0002,Švermova,15276/42,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Švermova, 15276/42, 97404, Banská Bystrica",true
067fcf11-81fd-5b0a-9a88-f26d52c84592,66-50770420-A0001,Švermova,15276/42,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Švermova, 15276/42, 97404, Banská Bystrica",true
6ef36604-b9f0-5987-8f51-8de61b539d7c,66-36733768-A0004,Dolná,177/4,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Dolná, 177/4, 97401, Banská Bystrica",true
e5727f7f-4973-5b61-b1ae-2431adaa188b,66-36733768-A0005,Dolná,177/4,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Dolná, 177/4, 97401, Banská Bystrica",true
bf99493e-740c-5a44-9b05-837d9a8c7a77,66-56264887-A0001,Cesta k nemocnici,622/1,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Cesta k nemocnici, 622/1, 97401, Banská Bystrica",true
3c372c8d-15b5-5f8c-a29b-6fabb54c59a4,66-44407033-A0002,Cesta k nemocnici,622/1,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Cesta k nemocnici, 622/1, 97401, Banská Bystrica",true
7d5fd530-947c-5f39-92f6-29940d07d19b,66-56652062-A0002,Trieda SNP,3502/75,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Trieda SNP, 3502/75, 97401, Banská Bystrica",true
e13a49ad-3c2c-5fc4-af85-85114df69848,66-56652062-A0001,Trieda SNP,3502/75,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Trieda SNP, 3502/75, 97401, Banská Bystrica",true
18acebd1-961f-599e-b294-54a8f30237aa,66-51744422-A0011,Cesta k nemocnici,622/1,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Cesta k nemocnici, 622/1, 97401, Banská Bystrica",true
f9aafde6-f1eb-5e40-9f9d-b0246f494faf,66-51744422-A0012,Cesta k nemocnici,622/1,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Cesta k nemocnici, 622/1, 97401, Banská Bystrica",true
b8b6b262-2c21-5d7f-9395-0b65b3fbc4f0,66-56514328-A0001,Športová,535/1,Brusno,Banskobystrický samosprávny kraj,97662,"Športová, 535/1, 97662, Brusno",true
5134f057-adc9-5c2d-a7dd-c529b350ac69,66-32027222-A0002,Trieda SNP,3502/75,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Trieda SNP, 3502/75, 97401, Banská Bystrica",true
8c1b4a00-a9dd-5035-b3f5-c6e3171bc3ba,66-56058632-A0001,1.mája,635/2,Slovenská Ľupča,Banskobystrický samosprávny kraj,97613,"1.mája, 635/2, 97613, Slovenská Ľupča",true
71869de7-efca-55eb-940a-c2252baa6c55,51-00151866-A0060,J. Cikkera,910/3,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"J. Cikkera, 910/3, 97401, Banská Bystrica",true
3ec7a748-9eb6-5c75-9127-1ee74075fc3d,51-00151866-A0059,J. Cikkera,910/3,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"J. Cikkera, 910/3, 97401, Banská Bystrica",true
4d301be2-7aaf-5506-9b11-8df8476cbc77,66-54623791-A0002,Cesta k nemocnici,1231/23,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Cesta k nemocnici, 1231/23, 97401, Banská Bystrica",true
4679c219-4f0b-5604-be91-f2b84145818a,66-55563333-A0009,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
312c5ac3-c895-5504-b759-ca73c278b4e4,66-55563333-A0006,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
d251e035-3dc6-5eea-99c6-715d14832e82,66-55563333-A0008,Rudlovská cesta,15884/72,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 15884/72, 97411, Banská Bystrica",true
7abc5772-cd48-541a-8d2a-1470a971612e,66-55563333-A0010,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
8067ad85-9325-563c-a383-6a720e99087c,66-55563333-A0007,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
7a3c8839-ddc7-5b3f-ad21-5de09f9ca167,66-56291833-A0001,Povstalecká cesta,4368/30,Banská Bystrica,Banskobystrický samosprávny kraj,97409,"Povstalecká cesta, 4368/30, 97409, Banská Bystrica",true
2b0401a1-8dbd-59da-a6ea-27b13690ae34,51-36644331-A0024,Cesta k nemocnici,622/1,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Cesta k nemocnici, 622/1, 97401, Banská Bystrica",true
