id,slug,category,name
eacf6802-85a4-5de2-bc20-d8744e357208,mddr-miroslava-simanova-zubny-lekar,e-vuc,MDDr. Miroslava Simanová (zubný lekár)
32ddc7cc-dc31-5611-b651-39c50228c920,mddr-monika-krnacova-zubny-lekar,e-vuc,MDDr. Monika Krnáčová (zubný lekár)
775cf52b-49ad-544c-ae7a-aa7fa01d14e1,mddr-simona-varholakova-zubny-lekar,e-vuc,MDDr. Simona Varholáková (zubný lekár)
f280608a-1577-5cde-9527-8c58c92d1406,mddr-valeriu-anghileanu-zubny-lekar,e-vuc,MDDr. Valeriu Anghileanu (zubný lekár)
16b623e8-b9fb-5b6c-811e-e27052bee254,midr-kristina-vaganova,e-vuc,MIDr. Kristína Vagáňová
7627050b-28fc-54b5-9b2c-c0bd1d2f7fa9,mudr-alena-veselenyiova-lekar,e-vuc,MUDr. Alena Veselényiová (lekár)
63bd57b3-6de6-533d-93a0-3759a61cf2c9,mudr-alica-kubinska-lekar,e-vuc,MUDr. Alica Kubinská (lekár)
ee387625-beea-5aae-a5f3-b1eef844bab7,mudr-andrea-sramkova-kvietkova-zubny-lekar,e-vuc,MUDr. Andrea Šrámková Kvietková (zubný lekár)
fc7ee531-d7d7-5413-b0ac-65773fdd41b2,mudr-anna-hana-gubricova-lekar,e-vuc,MUDr. Anna Hana Gubricová (lekár)
864c70a1-3cd3-59ba-ab9a-26f8630391f2,mudr-anna-latinakova-lekar,e-vuc,MUDr. Anna Latináková (lekár)
c94739dc-69ce-555a-a8a2-ccd3c4623975,mudr-anna-maruskova-lekar,e-vuc,MUDr. Anna Marušková (lekár)
90cd8297-12bc-5b06-a026-056d33248872,mudr-anna-pivoluskova-lekar,e-vuc,MUDr. Anna Pivolusková (lekár)
1c0c496e-df0a-52c8-9a8f-38572c512481,mudr-arin-stefan-ianecsko,e-vuc,MUDr. Arin Stefan Ianecsko
b5f5e70f-c73f-586f-879d-c3d886b4cef0,mudr-badinska-necpalova-martina-lekar,e-vuc,MUDr. Badinská Necpálová Martina (lekár)
7234267f-d1ab-5e27-93cd-e224e3cfe468,mudr-barbora-suchacova-lekar,e-vuc,MUDr. Barbora Sucháčová (lekár)
4755ccc5-c277-5a85-9549-c9aac71a5775,mudr-beata-dikaszova-lekar,e-vuc,MUDr. Beata Dikaszová (lekár)
9abb1a88-d6ee-5d52-a483-1b9e776a35c9,mudr-bronislav-zlevsky-lekar,e-vuc,MUDr. Bronislav Zlevský (lekár)
9b64227f-a3e0-50cc-90b6-1b371ab0b92e,mudr-dagmar-kresakova-lekar,e-vuc,MUDr. Dagmar Krešáková (lekár)
1b257415-256a-5c6f-864a-625e7761411c,mudr-daniela-chovancova-lekar,e-vuc,MUDr. Daniela Chovancová (lekár)
d8ff3ad2-ddeb-58f2-b6f4-9c99fb1ee83f,mudr-daniela-simanova-lekar,e-vuc,MUDr. Daniela Simanová (lekár)
96f5383b-d73f-5d8b-9a5e-c1f6fecc197b,mudr-daniela-stellerova-lekar,e-vuc,MUDr. Daniela Štellerová (lekár)
31bf469d-fe5a-510c-b481-fbfea7249b46,mudr-diana-berlanska-lekar,e-vuc,MUDr. Diana Berlanská (lekár)
0ce48165-8efa-50f6-9b74-72385eccc44d,mudr-dusan-gregor-lekar,e-vuc,MUDr. Dušan Gregor (lekár)
30bf693c-4fce-53f2-bdb3-3257e4e3a935,mudr-dusan-pallay-lekar,e-vuc,MUDr. Dušan Pallay (lekár)
4f2c172a-c2d0-5df9-b02a-4b60d9591808,mudr-dasa-flochova-lekar,e-vuc,MUDr. Dáša Flochová (lekár)
1215061a-bf24-50f0-9624-6923aa1c3c22,mudr-elena-snarska-lekar,e-vuc,MUDr. Elena Snarska (lekár)
16cedeee-8f35-52b0-9f07-bd9f6b9ac6b7,mudr-emilia-buckova-lekar,e-vuc,MUDr. Emília Bučková (lekár)
06e5a442-8a61-55de-8861-61ee1d33c806,mudr-emilia-zlevska-lekar,e-vuc,MUDr. Emília Zlevská (lekár)
6befe0b8-442e-5950-8ac6-0950816cb23d,mudr-erik-richter-lekar,e-vuc,MUDr. Erik Richter (lekár)
c83e4603-7254-5746-b0e4-5c1c8825554e,mudr-erik-wagner,e-vuc,MUDr. Erik Wágner
1242e8f2-03f7-58f4-8666-26490f9d9c0b,mudr-erik-wagner-lekar,e-vuc,MUDr. Erik Wágner (lekár)
6b2400b4-ee59-5612-b897-1d3560d8139e,mudr-gabika-berlecka-lekar,e-vuc,MUDr. Gabika Berlecká (lekár)
cae162c4-6ce4-5c70-858a-8913635bcc95,mudr-ivan-droppa-lekar,e-vuc,MUDr. Ivan Droppa (lekár)
d2e59b22-f357-5520-94a1-afddabaeb852,mudr-ivan-dubiny-lekar,e-vuc,MUDr. Ivan Dubíny (lekár)
